residence_hall,room_type,fall_spring,summer_a_b,summer_c
Beaty Towers,Apartment Double,3821,1433,2866
Broward Hall,Traditional Single,3766,1412,2824
Broward Hall,Traditional Double,3556,1334,2668
Broward Hall,Traditional Triple,3136,1176,2352
Buckman Hall,Traditional Single,3766,1412,2824
Buckman Hall,Traditional Double,3556,1334,2668
Buckman Hall,Traditional Triple,3136,1176,2352
Cypress Hall,Suite Single,5081,1905,3810
Cypress Hall,Suite Double,4800,1800,3600
East Hall,Traditional Double,3556,1334,2668
East Hall,Traditional Triple,3136,1176,2352
Fletcher Hall,Traditional Single,3766,1412,2824
Fletcher Hall,Traditional Large Single,4082,1531,3062
Fletcher Hall,Traditional Double,3556,1334,2668
Fletcher Hall,Traditional Large Double,4082,1531,3062
Honors Village,Suite Single,5589,2096,4192
Honors Village,Suite Double,5281,1980,3960
Honors Village,Traditional Single,5081,1905,3810
Honors Village,Traditional Double,4800,1800,3600
Hume Hall,Suite Single,5081,1905,3810
Hume Hall,Suite Double,4800,1800,3600
Infinity Hall,Suite Single,5302,2253,4506
Infinity Hall,Suite Double,5008,2128,4256
Infinity Hall,Suite Large Double,5157,2192,4384
Jennings Hall,Traditional Single,3766,1412,2824
Jennings Hall,Traditional Double,3556,1334,2668
Jennings Hall,Traditional Triple,3136,1176,2352
Keys Complex,Apartment Single,4262,1598,3196
Lakeside,Apartment Single,4603,1726,3452
Lakeside,Apartment Double,3821,1433,2866
Mallory Hall,Traditional Single,3766,1412,2824
Mallory Hall,Traditional Double,3556,1334,2668
Murphree Hall,Traditional Double,3780,1418,2836
Murphree Hall,Traditional Large Double,4082,1531,3062
Murphree Hall,Traditional Triple,3296,1236,2472
Murphree Hall,Traditional Large Triple,4082,1531,3062
North Hall,Traditional Single,3766,1412,2824
North Hall,Traditional Double,3556,1334,2668
North Hall,Traditional Triple,3136,1176,2352
Rawlings Hall,Suite Double,3680,1380,2760
Rawlings Hall,Traditional Double,3556,1334,2668
Reid Hall,Traditional Single,3766,1412,2824
Reid Hall,Traditional Double,3556,1334,2668
Riker Hall,Traditional Single,3766,1412,2824
Riker Hall,Traditional Double,3556,1334,2668
Riker Hall,Traditional Triple,3136,1176,2352
Sledd Hall,Traditional Single,3766,1412,2824
Sledd Hall,Traditional Large Single,4082,1531,3062
Sledd Hall,Traditional Double,3556,1334,2668
Sledd Hall,Traditional Large Double,4082,1531,3062
Sledd Hall,Traditional Triple,3136,1176,2352
Springs Complex,Suite Single,4408,1653,3306
Springs Complex,Suite Double,4109,1541,3082
Thomas Hall,Traditional Single,3766,1412,2824
Thomas Hall,Traditional Double,3556,1334,2668
Thomas Hall,Traditional Triple,3136,1176,2352
Thomas Hall,Traditional Quad,3004,1127,2254
Tolbert Hall,Traditional Single,3766,1412,2824
Tolbert Hall,Traditional Double,3556,1334,2668
Tolbert Hall,Traditional Triple,3136,1176,2352
Weaver Hall,Traditional Single,3766,1412,2824
Weaver Hall,Traditional Double,3556,1334,2668
Yulee Hall,Traditional Single,3766,1412,2824
Yulee Hall,Traditional Double,3556,1334,2668